iter	MultiClass
0	1.057429418
1	1.024655435
2	0.9975281761
3	0.975593052
4	0.9514223376
5	0.9300224131
6	0.9115974762
7	0.8964909829
8	0.8831759951
9	0.8712314824
10	0.8624331488
11	0.8538193414
12	0.8462923768
13	0.839563047
14	0.8307549947
15	0.8237073054
16	0.8172238382
17	0.8116087893
18	0.8073321629
19	0.8035053339
20	0.7999523297
21	0.7962319772
22	0.7928301195
23	0.7899058544
24	0.7866863975
25	0.7841689857
26	0.7817957597
27	0.7796198736
28	0.7767667946
29	0.7744278449
30	0.7725730513
31	0.7686802945
32	0.7654358496
33	0.7640434278
34	0.7627565976
35	0.7611438819
36	0.7595233178
37	0.7560396814
38	0.7545693554
39	0.7532022892
40	0.7510233757
41	0.7490329281
42	0.7475788991
43	0.746609935
44	0.7457200987
45	0.7437226969
46	0.7421979284
47	0.7403356127
48	0.7388009752
49	0.7383861642
50	0.7375264426
51	0.7363453797
52	0.7353868674
53	0.7336597581
54	0.7322564538
55	0.7315348232
56	0.7307702365
57	0.7298291941
58	0.7288930456
59	0.7278994876
60	0.7271026761
61	0.7265215891
62	0.7258873854
63	0.7251735037
64	0.7247098017
65	0.7240159922
66	0.7234742533
67	0.7227223253
68	0.7215658391
69	0.7210293078
70	0.7207576249
71	0.7198387009
72	0.7192676871
73	0.719080333
74	0.718504851
75	0.7180077289
76	0.7174501534
77	0.7169738334
78	0.7168488651
79	0.7164480358
80	0.716016703
81	0.7151695982
82	0.7150114599
83	0.7147312943
84	0.7143375549
85	0.714173212
86	0.713755917
87	0.7132989964
88	0.7129754271
89	0.7127104694
90	0.7121411014
91	0.7119125973
92	0.7117728894
93	0.7113097353
94	0.7108900808
95	0.7104443855
96	0.7102255893
97	0.7098097826
98	0.709573641
99	0.7092199675
100	0.7090317439
101	0.7084738905
102	0.7083747301
103	0.707761614
104	0.7072170915
105	0.7068249352
106	0.7064107004
107	0.7060660733
108	0.7057847802
109	0.7055167146
110	0.7048935258
111	0.7045877918
112	0.7041970273
113	0.7038501038
114	0.7037596235
115	0.7033518672
116	0.7029168399
117	0.7024944623
118	0.7023617504
119	0.7018659507
120	0.7016900066
121	0.7009127129
122	0.7004876298
123	0.700340592
124	0.7000059627
125	0.6997985691
126	0.6993382054
127	0.6991689681
128	0.6989193409
129	0.6986946365
130	0.6985613379
131	0.6982548526
132	0.6979714607
133	0.6976657287
134	0.6975116595
135	0.6971524931
136	0.6969142424
137	0.6967105054
138	0.6964723274
139	0.6963612425
140	0.696060163
141	0.6958362657
142	0.6956055809
143	0.6954255454
144	0.694918115
145	0.6946682392
146	0.6945010559
147	0.6943992467
148	0.6943216153
149	0.6939488599
150	0.6938204031
151	0.6935024207
152	0.6933564189
153	0.6931953657
154	0.693056863
155	0.6929743088
156	0.6928487333
157	0.6926037627
158	0.692359307
159	0.6922568848
160	0.6921726008
161	0.6919349908
162	0.6916840318
163	0.6915004244
164	0.6912701474
165	0.691007062
166	0.6908984245
167	0.6906448295
168	0.6904920144
169	0.6903777667
170	0.6902636984
