iter	Passed	Remaining
0	2189	2187006
1	4456	2223605
2	6603	2194447
3	8823	2196942
4	11441	2276767
5	14049	2327475
6	16466	2335903
7	18897	2343268
8	20992	2311488
9	23099	2286853
10	25146	2260864
11	27669	2278085
12	30061	2282356
13	32199	2267739
14	34239	2248396
15	36220	2227573
16	38312	2215357
17	40319	2199651
18	42158	2176711
19	44432	2177207
20	46618	2173291
21	48733	2166413
22	50840	2159596
23	52835	2148655
24	55264	2155311
25	57484	2153453
26	59793	2154771
27	61952	2150624
28	64270	2151958
29	66122	2137949
30	68510	2141512
31	71027	2148568
32	73457	2152541
33	75684	2150320
34	77999	2150556
35	80628	2159038
36	83092	2162649
37	85784	2171703
38	88228	2174033
39	90782	2178787
40	93458	2186019
41	96448	2199953
42	98624	2194979
43	100907	2192444
44	103176	2189642
45	105540	2188818
46	107724	2184279
47	110031	2182290
48	112440	2182267
49	114815	2181487
50	118219	2199812
51	124911	2277240
52	128920	2303546
53	132351	2318602
54	135961	2336066
55	139087	2344613
56	143256	2370022
57	147143	2389808
58	151045	2409055
59	154420	2419258
60	157622	2426351
61	161798	2447855
62	165456	2460831
63	169619	2480678
64	173163	2490887
65	176674	2500207
66	180287	2510566
67	184031	2522314
68	188068	2537559
69	191469	2543807
70	195267	2554973
71	198813	2562480
72	202338	2569418
73	205530	2571909
74	208922	2576709
75	212048	2578062
76	215174	2579297
77	218383	2581399
78	221815	2585980
79	225207	2589885
80	228720	2594989
81	232157	2599029
82	235490	2601742
83	239008	2606332
84	242303	2608325
85	245583	2610036
86	249017	2613252
87	252486	2616683
88	256307	2623549
89	259536	2624204
90	262892	2626037
91	266284	2628114
92	268964	2623126
93	271554	2617323
94	273428	2604761
95	275643	2595641
96	277747	2585629
97	280194	2578930
98	282680	2572679
99	284992	2564935
100	287185	2556235
101	289666	2550199
102	291855	2541692
103	294303	2535535
104	296175	2524539
105	298257	2515493
106	299817	2502215
107	302216	2496084
108	304443	2488618
109	306551	2480281
110	308920	2474150
111	311157	2467031
112	313268	2459021
113	315613	2452925
114	317732	2445157
115	320281	2440769
116	322236	2431922
117	324680	2426850
118	326787	2419324
119	329114	2413506
120	331668	2409395
121	334284	2405753
122	336578	2399831
123	338781	2393327
124	340827	2385795
125	343122	2380073
126	345513	2375067
127	347675	2368536
128	350224	2364695
129	352515	2359145
130	354720	2353071
131	357160	2348600
132	359557	2343885
133	361702	2337571
134	364498	2335490
135	367310	2333504
136	369438	2327190
137	371564	2320929
138	376387	2331433
139	383284	2354464
140	387034	2357891
141	390531	2359691
142	393875	2360495
143	397381	2362213
144	401123	2365245
145	404593	2366593
146	408131	2368274
147	411443	2368581
148	415230	2371554
149	418719	2372745
150	422140	2373489
151	425488	2373779
152	428862	2374158
153	432177	2374171
154	435198	2372531
155	438220	2370883
156	441410	2370120
157	444786	2370317
158	448132	2370308
159	451362	2369653
160	454537	2368679
161	457642	2367313
162	461273	2368625
163	465076	2370754
164	468202	2369386
165	471445	2368586
166	474793	2368279
167	478138	2367925
168	481308	2366671
169	484277	2364411
170	487508	2363416
171	490923	2363281
172	494173	2362322
173	497561	2361985
174	500711	2360498
175	503690	2358188
176	507127	2358001
177	510575	2357827
178	513874	2356930
179	517033	2355374
180	519998	2352919
181	523916	2354746
182	527607	2355491
183	530770	2353850
184	533978	2352393
185	537322	2351508
186	540842	2351363
187	544256	2350723
188	547059	2347433
189	550407	2346475
190	553703	2345268
191	556841	2343374
192	559856	2340953
193	563201	2339900
194	566357	2338038
195	569548	2336312
196	572905	2335244
197	576486	2335060
198	579915	2334233
199	583186	2332745
200	586352	2330822
201	589674	2329506
202	593031	2328306
203	596235	2326488
204	599328	2324224
205	602157	2320937
206	605577	2319918
207	608891	2318470
208	612482	2318055
209	615763	2316443
210	618845	2314070
211	622316	2313139
212	625475	2311030
213	629202	2310994
214	632533	2309483
215	635655	2307192
216	639298	2306777
217	642742	2305617
218	645680	2302631
219	648440	2299017
220	651088	2295013
221	654253	2292834
222	657629	2291380
223	660782	2289139
224	664221	2287875
225	667541	2286183
226	670871	2284509
227	674066	2282366
228	677241	2280144
229	680689	2278830
230	683760	2276240
231	687182	2274809
232	690173	2271943
233	693264	2269404
234	696160	2266225
235	699421	2264228
